BABA,Date,Close,Monthly Returns_BABA,,,BTC,Date,Close,Monthly Returns_BTC,,,VTI,Date,Close,Monthly Returns_VTI,,,HAL,Date,Close,Monthly Returns_HAL,,,GGE,Date,Close,Monthly Returns_GGE,,,AMZN,Date,Close,Monthly Returns_AMZN
,8/1/2018,7037.580078,-0.058545695,,,,8/1/2018,100.635498,-0.004824302,,,,8/1/2018,150.070007,-0.00279878,,,,8/1/2018,39.889999,0.016044122,,,,8/1/2018,2.74,-0.102189781,,,,8/1/2018,100.635498,-0.004824302
,9/1/2018,6625.560059,-0.046479119,,,,9/1/2018,100.150002,-0.202191758,,,,9/1/2018,149.649994,-0.074106224,,,,9/1/2018,40.529999,-0.144337507,,,,9/1/2018,2.46,0.073170732,,,,9/1/2018,100.150002,-0.202191758
,10/1/2018,6317.609863,-0.364115759,,,,10/1/2018,79.900497,0.057671756,,,,10/1/2018,138.559998,0.020135739,,,,10/1/2018,34.68,-0.093713956,,,,10/1/2018,2.64,-0.083333333,,,,10/1/2018,79.900497,0.057671756
,11/1/2018,4017.268555,-0.068346966,,,,11/1/2018,84.508499,-0.1113497,,,,11/1/2018,141.350006,-0.097064085,,,,11/1/2018,31.43,-0.154311168,,,,11/1/2018,2.42,-0.198347107,,,,11/1/2018,84.508499,-0.1113497
,12/1/2018,3742.700439,-0.076123569,,,,12/1/2018,75.098503,0.144317098,,,,12/1/2018,127.629997,0.085403136,,,,12/1/2018,26.58,0.1798345,,,,12/1/2018,1.94,0.030927835,,,,12/1/2018,75.098503,0.144317098
,1/1/2019,3457.792725,0.11481101,,,,1/1/2019,85.936501,-0.045905988,,,,1/1/2019,138.529999,0.035588017,,,,1/1/2019,31.360001,-0.021364795,,,,1/1/2019,2,0.07,,,,1/1/2019,85.936501,-0.045905988
,2/1/2019,3854.7854,0.065015006,,,,2/1/2019,81.991501,0.0859357,,,,2/1/2019,143.460007,0.00871323,,,,2/1/2019,30.690001,-0.04529169,,,,2/1/2019,2.14,-0.056074766,,,,2/1/2019,81.991501,0.0859357
,3/1/2019,4105.404297,0.303337303,,,,3/1/2019,89.037498,0.081858747,,,,3/1/2019,144.710007,0.039250858,,,,3/1/2019,29.299999,-0.033105769,,,,3/1/2019,2.02,0.01980198,,,,3/1/2019,89.037498,0.081858747
,4/1/2019,5350.726563,0.602493017,,,,4/1/2019,96.325996,-0.078613192,,,,4/1/2019,150.389999,-0.06449895,,,,4/1/2019,28.33,-0.248499788,,,,4/1/2019,2.06,-0.13592233,,,,4/1/2019,96.325996,-0.078613192
,5/1/2019,8574.501953,0.261549106,,,,5/1/2019,88.753502,0.066791742,,,,5/1/2019,140.690002,0.066813518,,,,5/1/2019,21.290001,0.068107042,,,,5/1/2019,1.78,0.02247191,,,,5/1/2019,88.753502,0.066791742
